Slice,CU,UE,Value
0,0,0,0.9999999994624464
0,0,1,3.1570652654290465e-10
0,0,2,1.0
0,0,3,0.0
0,0,4,2.2184698628775248e-10
0,1,0,5.375535572227363e-10
0,1,1,0.0
0,1,2,0.0
0,1,3,1.0
0,1,4,0.0
