Slice,RU,UE,RB,Power
0,0,0,0,19952.616334142367
0,0,0,1,1.8253755431076295e-05
0,0,0,2,0.0
0,0,1,0,0.0
0,0,1,1,4.3997441943984725e-07
0,0,1,2,0.0
0,0,2,0,0.0
0,0,2,1,0.0
0,0,2,2,0.0
0,0,3,0,0.0
0,0,3,1,0.0
0,0,3,2,0.0
0,0,4,0,0.0
0,0,4,1,0.0
0,0,4,2,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,0,2,0.0
0,1,1,0,0.0
0,1,1,1,1.1012878845917426e-07
0,1,1,2,0.0
0,1,2,0,0.0
0,1,2,1,0.0
0,1,2,2,19952.604809732613
0,1,3,0,0.0
0,1,3,1,0.0
0,1,3,2,0.0
0,1,4,0,0.0
0,1,4,1,0.0
0,1,4,2,0.0
0,2,0,0,0.0
0,2,0,1,0.0
0,2,0,2,0.0
0,2,1,0,0.0
0,2,1,1,1.1000147555244173e-07
0,2,1,2,0.0
0,2,2,0,0.0
0,2,2,1,0.0
0,2,2,2,0.0
0,2,3,0,0.0
0,2,3,1,19952.58327183473
0,2,3,2,0.0
0,2,4,0,0.0
0,2,4,1,3.944613152144037e-07
0,2,4,2,0.0
0,3,0,0,0.0
0,3,0,1,0.0
0,3,0,2,0.0
0,3,1,0,0.0
0,3,1,1,1.3823099882389164e-07
0,3,1,2,0.0
0,3,2,0,0.0
0,3,2,1,0.0
0,3,2,2,0.0
0,3,3,0,0.0
0,3,3,1,0.01563794613758576
0,3,3,2,0.0
0,3,4,0,0.0
0,3,4,1,1.1719408522705136e-07
0,3,4,2,0.0
