Slice,DU,UE,Value
0,0,0,1.0
0,0,1,0.0
0,0,2,1.0
0,0,3,0.0
0,0,4,0.0
0,1,0,0.0
0,1,1,3.1570652654290465e-10
0,1,2,0.0
0,1,3,1.0
0,1,4,2.218469862877525e-10
