Slice,RU,UE,RB,Value
0,0,0,0,1.0
0,0,0,1,9.200917232480399e-10
0,0,0,2,0.0
0,0,1,0,0.0
0,0,1,1,2.7394728223900018e-11
0,0,1,2,0.0
0,0,2,0,0.0
0,0,2,1,0.0
0,0,2,2,0.0
0,0,3,0,0.0
0,0,3,1,0.0
0,0,3,2,0.0
0,0,4,0,0.0
0,0,4,1,0.0
0,0,4,2,0.0
0,1,0,0,0.0
0,1,0,1,0.0
0,1,0,2,0.0
0,1,1,0,0.0
0,1,1,1,1.0864130949150893e-11
0,1,1,2,0.0
0,1,2,0,0.0
0,1,2,1,0.0
0,1,2,2,1.0
0,1,3,0,0.0
0,1,3,1,0.0
0,1,3,2,0.0
0,1,4,0,0.0
0,1,4,1,0.0
0,1,4,2,0.0
0,2,0,0,0.0
0,2,0,1,0.0
0,2,0,2,0.0
0,2,1,0,0.0
0,2,1,1,1.0856703699732845e-11
0,2,1,2,0.0
0,2,2,0,0.0
0,2,2,1,0.0
0,2,2,2,0.0
0,2,3,0,0.0
0,2,3,1,0.999998437982816
0,2,3,2,0.0
0,2,4,0,0.0
0,2,4,1,2.5176891382985175e-11
0,2,4,2,0.0
0,3,0,0,0.0
0,3,0,1,0.0
0,3,0,2,0.0
0,3,1,0,0.0
0,3,1,1,1.227246809241416e-11
0,3,1,2,0.0
0,3,2,0,0.0
0,3,2,1,0.0
0,3,2,2,0.0
0,3,3,0,0.0
0,3,3,1,1.561576463204848e-06
0,3,3,2,0.0
0,3,4,0,0.0
0,3,4,1,1.1236060629740829e-11
0,3,4,2,0.0
